date;STXE 600;STXE 600 Banks € Pr;STXE 600 HealthCare € Pr;STXE 600 InduGd&Ser € Pr;STXE 600 Per&HouGds € Pr;STXE 600 Insurance € Pr;STXE 600 Food&Bevrg € Pr;STXE 600 Technology € Pr;STXE 600 Oil&Gas € Pr;STXE 600 Chemicals € Pr;STXE 600 Utilities € Pr;STXE 600 Auto&Parts € Pr;STXE 600 Telcomm € Pr;STXE 600 BasicResou € Pr;STXE 600 Constr&Mtr € Pr;STXE 600 Retail € Pr;STXE 600 Media € Pr;STXE 600 FinanServc € Pr;STXE 600 Trav&Leisr € Pr;STXE 600 RealEstate € Pr
31/01/2003;-0,0693;-0,0797;-0,043;-0,0673;-0,0781;-0,1056;-0,0776;-0,0314;-0,0835;-0,0923;0,0036;-0,0091;-0,0009;-0,1074;-0,0395;-0,0744;-0,0672;-0,0814;-0,0432;-0,0554
28/02/2003;-0,0362;0,0058;-0,0493;-0,0704;-0,0149;-0,0558;-0,0421;-0,0567;-0,0217;-0,1073;-0,0657;-0,0298;-0,0366;0,0394;-0,0233;-0,0829;-0,1025;-0,0424;-0,0352;0,0005
31/03/2003;-0,0248;-0,0262;0,0041;0,0035;-0,0434;-0,1377;0,0153;-0,0048;-0,0154;-0,0128;-0,0268;-0,1183;-0,0212;-0,0619;-0,0202;-0,0161;-0,0342;-0,0346;-0,0294;-0,041
30/04/2003;0,1117;0,1471;0,0935;0,123;0,0736;0,2851;0,0492;0,207;0,0027;0,1607;0,09;0,1827;0,1088;0,059;0,1251;0,1031;0,146;0,1146;0,0697;0,0086
30/05/2003;0,0144;0,0149;-0,0114;0,0135;0,0201;-0,0036;-0,0492;0,0133;0,0529;-0,0238;0,03;-0,0398;0,0338;-0,0166;-0,0142;0,0355;0,0501;0,0628;0,0618;0,0731
30/06/2003;0,0358;0,0534;0,0316;0,0544;0,0123;0,0201;-0,0015;0,0021;0,044;0,0319;0,0313;0,1425;-0,0018;0,0369;0,0502;0,0818;0,0298;0,0466;0,0612;0,0253
31/07/2003;0,0419;0,0563;0,0028;0,0863;0,0274;0,1541;0,0156;0,0813;-0,0041;0,1051;-0,0002;0,0338;0,0026;0,1433;0,0909;0,011;0,0543;0,0448;0,0524;0,0188
29/08/2003;0,0203;-0,0173;-0,0056;0,0624;0,0732;-0,0172;0,0658;0,096;0,0376;0,0048;0,0055;0,0895;-0,0104;0,0879;0,0303;0,0365;0,0248;0,0002;0,0391;0,0213
30/09/2003;-0,0357;-0,0254;0,0145;-0,0414;-0,0432;-0,0633;-0,0104;-0,0846;-0,0588;-0,0729;-0,0374;-0,1;-0,0096;-0,078;-0,0601;-0,0092;-0,0624;-0,0188;-0,055;-0,003
31/10/2003;0,0718;0,0972;0,0432;0,1107;0,0855;0,11;0,0061;0,1458;0,0238;0,0519;0,0242;0,0786;0,0639;0,1411;0,0682;0,0412;0,1013;0,0626;0,0866;0,046
